features,coefficients,exp
ratio_open_30,-0.6536160074963959,0.5201614642161255
prob_mix_ro_30t60,0.004921730744263011,1.0049338623556985
ratio_open_30t60,-0.31583360169995683,0.7291807745145646
engaged_prob,0.7362606792874146,2.088112774394946
engaged_index,0.479218742791087,1.6148123254834978
avg_key_del_open,0.19009624642764356,1.2093659892122013
ratio_open_60,0.10351054202446719,1.1090574850145833
var_deliveries_last_60,0.16958303248432877,1.1848107207265597
std_deliveries_last_90,1.2485054523226986,3.4851303697025138
prob_mix_ro_60t90,0.05602408266906124,1.0576231538183212
ratio_open_60t90,-0.29041908523816046,0.7479500470636383
var_key_del_open,0.11074551510013554,1.117110582903089
avg_deliveries_last_60,0.36315567022965495,1.437859673765755
ratio_deliveries_last_60,0.0,1.0
ratio_keydeliveries_last_60,0.0,1.0
ratio_deliveries_last_90,-0.5448841300974041,0.5799089734433832
avg_deliveries_last_90,0.0,1.0
ratio_keydeliveries_last_90,0.0,1.0
avg_deliveries_last_180,-0.07469783732963652,0.9280238581346079
ratio_deliveries_last_180,0.043958443174401306,1.0449389296412819
std_key_del_close,0.061414303093507365,1.0633393677297611
ratio_keydeliveries_last_180,0.0,1.0
datediff_create_trans,-0.0053027441403437825,0.9947112905888806
datediff_month,0.005182003313555675,1.0051954531149958
ratio_open_90,-0.07538174083991961,0.9273893963404566
total_opens_last_90t180,8.087936335621172e-05,1.00008088263418
app_ratio_open_90t180,0.23186816681847167,1.260953482360831
app_total_opens_last_180,-0.00027477254089626436,0.999725265205621
ratio_open_90t180,0.6115036483004468,1.8432008419389532
total_opens_last_180,9.406647476977474e-06,1.0000094066917196
app_total_opens_by_device,-8.752960747879782e-06,0.9999912470775592
age_1stperson_hushld,0.013561930657601685,1.0136543107844058
app_total_opens_last_90,-0.0006203681893750574,0.9993798241991841
avg_opens_by_device,-0.20838463536650897,0.8118946932337171
std_opens_by_device,0.8035470623451358,2.2334490779756444
app_ratio_open_60t90,0.0,1.0
app_ratio_open_90,-0.3973768852170884,0.6720806806214443
app_ratio_open_60,-0.42957686431568715,0.6507844065772912
app_total_opens_last_60,0.0016650253885697928,1.0016664123129901
app_avg_opens_last_90,0.0621183377067963,1.064088259042085
app_avg_opens_last_60,-0.5000271777299852,0.6065141758101346
app_std_opens_last_60,1.0755017207698234,2.9314633076633885
app_ratio_open_30t60,-0.17307863746936875,0.8410714725118679
app_std_opens_last_30,-0.3344283858624365,0.715747100603884
app_avg_opens_last_30,0.06312338086096858,1.0651582512663829
app_ratio_open_30,0.0,1.0
app_total_opens_last_30,-0.0014400248209388382,0.998561011517293
no_of_adults_hushld,0.024976584275224017,1.025291112308844
home_lot_square_footage,-6.253946388606648e-10,0.9999999993746054
home_square_footage,-2.7398470672950937e-06,0.9999972601566861
vehicle_year_1st,2.1267548688222636e-05,1.0000212677748441
home_loan_amount,-3.2351639575659454e-09,0.9999999967648361
gnd_F,-4.742908010752447,0.008713271021910492
gnd_M,-4.469389860729084,0.011454302438631832
gnd_unknown,-4.235237618006344,0.014476369942877706
